Name,City,Cuisine Style,Ranking,Restaurants Count,Ranking Normalized,Rating,Price Range,Number of Reviews
Thai-Nippon Sushi-Bar,Berlin,"Sushi, Thai",4762,7127,0.668163322576119,4.0,$,4
Kafe Oslo Litteraturhuset,Oslo,"European, Scandinavian, Cafe, Norwegian",554,1306,0.4241960183767228,3.5,$$ - $$$,116
Blue Ginger Cafe Restaurant,Dublin,"Irish, European, Gluten Free Options",730,2313,0.3156074362300043,4.0,$$ - $$$,107
Cafeteria Galope,Madrid,,8221,10890,0.7549127640036731,3.0,$,9
Parreirinha Do Paraiso,Lisbon,"Mediterranean, Portuguese, European",510,4685,0.10885805763073639,4.5,$,102
Comptoir Moderne,Paris,Bar,7708,16668,0.4624430045596352,3.5,$$ - $$$,167
Sabor Peruano,London,"Peruvian, Latin",3478,19359,0.17965804018802625,4.5,$,87
Banh Mi Bay,London,"Asian, Vietnamese, Vegetarian Friendly, Vegan Options",2840,19359,0.14670179244795703,4.0,$,252
Lou Bistrot,Paris,"French, European",2706,16668,0.16234701223902087,4.5,$$ - $$$,56
Erbil,Oslo,Turkish,1018,1306,0.77947932618683,3.5,$,13
Frau Li,Munich,Chinese,1783,3020,0.5903973509933775,3.5,$$ - $$$,58
Zad Pizzeria Restaurante,London,"Italian, Pizza",6978,19359,0.3604525027119169,4.0,$$ - $$$,48
The Butcher,Amsterdam,"American, Fast Food",26,125,0.208,4.0,$$ - $$$,914
La Villa Thai,Paris,Thai,10372,16668,0.6222702183825294,3.5,$,42
Olufs,Copenhagen,,879,2333,0.37676810972996144,4.5,$,20
Jackson + Rye,London,"American, Bar, Grill",5719,19359,0.2954181517640374,4.0,$$ - $$$,109
Le Burger,Vienna,"American, Fast Food, Vegetarian Friendly",992,3953,0.25094864659752086,4.0,$,41
Bar du Matin,Brussels,Cafe,1263,3526,0.3581962563811685,3.5,$$ - $$$,72
Tatami,London,"Asian, Chinese",12302,19359,0.6354667079911153,4.0,$,16
Salzburg Cerveceria,Barcelona,"German, Bar, Fast Food, European, Spanish",4352,9312,0.46735395189003437,3.5,$,227
Slurp Restaurant,London,"Chinese, Asian, Japanese, Thai, Vegetarian Friendly",7667,19359,0.3960431840487629,3.5,$$ - $$$,107
The Watch House,London,"Bar, British, Pub",1327,1819,0.7295217152281473,3.5,$,75
The Sir Michael Balcon,London,"Bar, British, Pub",822,1819,0.4518966465090709,3.5,$,134
Camden Pizza Co,London,"Italian, Fast Food",7760,19359,0.40084715119582626,4.5,$,33
Benedetto Ristorante,Rome,"Italian, Pizza, European, Mediterranean",4614,10586,0.4358586812771585,3.5,$$ - $$$,165
Al Lido,Hamburg,"Pizza, Italian, Mediterranean",713,3157,0.22584732340829902,3.5,$$ - $$$,159
Bizeljcan,Ljubljana,"European, Slovenian",337,581,0.5800344234079173,4.0,$,5
Awash,Geneva,"African, Ethiopian",133,1674,0.07945041816009558,4.0,$$ - $$$,157
Sushi Best,Copenhagen,"Japanese, Sushi",1270,2333,0.5443634804972138,3.5,$$ - $$$,17
Dock's Cafe,Paris,French,11408,16668,0.6844252459803216,3.0,$,64
Five Lads,London,"Fast Food, International, Grill, Healthy",1245,1819,0.6844420010995053,3.5,$,50
Bistrot Alogokrito,Athens,"French, Greek",1743,2438,0.7149302707136997,4.5,$,3
Grigliamania,Milan,"Italian, Steakhouse, Seafood, Mediterranean, Barbecue, European",170,7025,0.024199288256227757,4.5,$$ - $$$,556
Restaurante Andalucia,Berlin,"Mediterranean, European, Spanish",2015,7127,0.28272765539497685,3.5,$$ - $$$,206
Ristorante Grazie Deledda,Rome,"Italian, Seafood, Mediterranean, Soups, Sardinian, Southern-Italian",1849,10586,0.17466465142641224,4.0,$$ - $$$,786
Forns Del Pi,Barcelona,Cafe,4521,9312,0.4855025773195876,3.5,$,50
A Padaria Portuguesa,Lisbon,Cafe,1569,4685,0.33489861259338316,4.0,$,57
Restaurante Cervejaria Barcabela,Lisbon,"Local cuisine, Seafood, Mediterranean, European, Portuguese",1515,4685,0.3233724653148346,3.5,$$ - $$$,222
Mirch Masala - Tooting,London,"Local cuisine, Indian, Asian, Balti, Pakistani, Vegetarian Friendly",3382,19359,0.17469910635879954,4.0,$,387
To Elaikon sto Goudi,Athens,Greek,952,2438,0.39048400328137817,4.0,$$ - $$$,44
Hybris Art Gallery & Bistrot,Rome,"Italian, Mediterranean, European",2993,10586,0.28273191006990367,4.0,$$ - $$$,116
The Good Egg Soho,London,"Deli, Middle Eastern, Israeli, Vegetarian Friendly, Vegan Options",6023,19359,0.31112144222325533,3.5,$$ - $$$,257
Vanilladu Cafe,Dublin,European,1461,2313,0.6316472114137484,4.0,$,7
Oratorio Bistrot,Rome,"Italian, Mediterranean",2586,10586,0.24428490459096922,4.0,$$ - $$$,293
Piccola Italia Pizzeria,Berlin,"Italian, Pizza, Mediterranean",1185,7127,0.1662691174407184,4.0,$,90
Winner House,Stockholm,Chinese,1207,2880,0.41909722222222223,4.0,$$ - $$$,17
Amurg,London,"European, Eastern European, Romanian",10323,19359,0.5332403533240353,4.0,$$ - $$$,19
Green Tavern,Madrid,Meals,5364,10890,0.4925619834710744,3.5,$,39
Restauracja Kramy Dominikanskie,Krakow,"Polish, Central European, European",283,1589,0.17809943360604152,4.0,$$ - $$$,157
Gayane's Madrid,Madrid,"Barbecue, Armenian",9871,10890,0.9064279155188246,3.5,$$ - $$$,77
Slovenska Pivnika,Bratislava,"Bar, Pub",500,1199,0.4170141784820684,4.0,$,13
Le Quan,Hamburg,"Vietnamese, German",921,3157,0.2917326575863161,4.0,$,31
Caco & Co Blackfriars,London,"European, Portuguese",11593,19359,0.5988429154398471,4.0,$$ - $$$,8
Marrakech Delight,London,"Moroccan, Mediterranean",9765,19359,0.504416550441655,4.0,$,16
Spice Island,London,Indian,12223,19359,0.6313859186941474,3.5,$$ - $$$,45
Eat,London,Fast Food,12484,19359,0.6448680200423575,5.0,$,2
McDonald's,Milan,Fast Food,6432,7025,0.9155871886120996,3.0,$,69
Rosso Rubino,Milan,Italian,1341,7025,0.1908896797153025,4.0,$,108
Grand Amour Restaurant,Paris,"French, European",14245,16668,0.8546316294696424,3.0,$$ - $$$,96
TerraZen Centre,Amsterdam,"Caribbean, Asian, Jamaican, Vegetarian Friendly, Gluten Free Options",781,3854,0.20264660093409445,4.0,$$ - $$$,272
Mama's Peri Peri,London,Meals,15443,19359,0.7977168242161269,3.0,$$ - $$$,6
Buddha Smile,Rome,"Italian, Pub, Pizza, Mediterranean",2557,10586,0.24154543737011147,3.5,$$ - $$$,551
Terre de Crete,Paris,"Healthy, Greek",7641,16668,0.4584233261339093,4.5,$,15
Restauracja Olive Garden,Warsaw,"Middle Eastern, Italian, Lebanese, Mediterranean, Greek, Israeli",1561,3007,0.5191220485533754,4.0,$$ - $$$,17
Fuku,Madrid,"Japanese, Sushi, Asian",1195,10890,0.10973370064279155,4.0,$$ - $$$,282
Taberna del Manzanares,Madrid,Spanish,4189,10890,0.3846648301193756,4.5,$,12
El Gran Jamonal,Madrid,Spanish,4127,10890,0.37897153351698804,4.0,$$ - $$$,25
Jung & Lecker,Warsaw,"Polish, Central European, International, European",1206,3007,0.4010641835716661,4.0,$$ - $$$,26
Trattoria Amici,Krakow,Italian,497,1589,0.31277533039647576,4.5,$$ - $$$,21
Traumzeit Hamburg,Hamburg,"Cafe, Central European",641,3157,0.20304086157744694,4.0,$$ - $$$,116
Rising Nepal,Luxembourg City,"Indian, Nepali",540,715,0.7552447552447552,5.0,$$ - $$$,10
Fang,Madrid,"Chinese, Japanese, Sushi, Asian",5438,10890,0.49935720844811754,3.5,$$ - $$$,40
Cafe Mon Cherie,Berlin,Meals,4272,7127,0.5994106917356532,4.0,$,8
The Bull & The Hide,London,"Bar, British, Pub",5073,19359,0.2620486595381993,4.0,$$ - $$$,111
Le Studio Cafe,Paris,"French, Cafe, European",1866,16668,0.11195104391648668,4.0,$$ - $$$,230
Blacklock City,London,"Steakhouse, British, Grill, Barbecue",282,19359,0.014566868123353479,4.5,$$ - $$$,426
Le Chaptal,Paris,French,6728,16668,0.40364770818334533,4.5,$,34
Nachoos & Tacoos,Madrid,Mexican,3125,10890,0.2869605142332415,4.0,$$ - $$$,34
Sainsbury's, Edinburgh,"Cafe, Deli",176,215,0.8186046511627907,4.0,$,6
Spritz Platz,Budapest,"Bar, Central European, American, Cafe, European",1304,2933,0.44459597681554724,4.0,$$ - $$$,28
India Street Food,Zurich,"Indian, Asian, Sri Lankan",506,1795,0.2818941504178273,4.5,$,36
Au P'tit Cahoua,Paris,"Moroccan, Middle Eastern, Mediterranean",4787,16668,0.287197024238061,4.0,$$ - $$$,71
Οι Καλαμιες - Ψητοπωλειον,Athens,Steakhouse,1783,2438,0.7313371616078753,4.5,$$$$,2
Lode & Stijn,Berlin,European,271,7127,0.03802441419952294,4.5,$$$$,104
Kaito,Munich,"Japanese, Sushi, Asian",924,3020,0.30596026490066225,4.0,$$ - $$$,93
Caffe Leonardo,Milan,"Bar, Pub, Italian",3795,7025,0.5402135231316726,4.0,$,16
Luce e Limoni Restaurant,London,"Italian, Mediterranean, European, Sicilian, Southern-Italian",545,19359,0.028152280593005837,4.5,$$ - $$$,252
Ave Maria,Paris,"South American, Indian, International",1913,16668,0.11477081833453323,4.0,$$ - $$$,291
La Focaccina Di Serafina,Rome,"Italian, Pizza, Fast Food",1764,10586,0.1666351785376913,4.0,$,164
The Hercules Pillars,London,"British, Pub",209,1819,0.1148982957669049,4.0,$$ - $$$,163
Chyl,Brussels,"European, Healthy",1116,3526,0.316505955757232,3.5,$$ - $$$,158
Garage a Manger,Brussels,"French, European",1652,3526,0.4685195689166194,3.5,$$ - $$$,167
Pizza Hut,Paris,Pizza,10796,16668,0.6477081833453324,4.5,$,5
Downing Square,Rome,Italian,5585,10586,0.5275836009824296,4.5,$$ - $$$,12
Doi Chang,Barcelona,"Asian, Thai",922,9312,0.09901202749140893,4.5,$$ - $$$,92
Thai Cafe,Brussels,"Asian, Thai",2818,3526,0.7992058990357346,3.0,$$ - $$$,34
Paul,is,Meals,153,357,0.42857142857142855,4.0,$,49
Tian Hu,London,"Chinese, Asian",4898,19359,0.2530089364120047,4.5,$$ - $$$,108
kumpir-offene Backkartoffel mal anders,Hamburg,German,1549,3157,0.490655685777637,4.5,$,11
Riad Marrakech,Milan,"Moroccan, Mediterranean, Middle Eastern",4507,7025,0.6415658362989324,3.5,$$ - $$$,75
Eichenkrug,Hamburg,"German, European, Central European",2647,3157,0.8384542286981311,3.0,$$ - $$$,75
Gang Seng,Paris,"Tibetan, Asian",5192,16668,0.3114950803935685,4.0,$$ - $$$,84
Klamovka,Prague,"Czech, Central European, European",2755,5235,0.5262655205348615,3.5,$,25
Lalola,Barcelona,"Mediterranean, European, Spanish, Catalan",964,9312,0.10352233676975946,4.0,$$ - $$$,425
Mendoza Square,London,"Latin, Central American, Mexican",6931,19359,0.35802469135802467,4.0,$$ - $$$,45
San Carlo Di Wasef Saad,Milan,"Italian, Pizza, Mediterranean, Egyptian",3836,7025,0.5460498220640569,4.0,$,24
Dietni Jidelna,Prague,"European, Diner, Czech",4208,5235,0.8038204393505253,2.5,$,2
Es,Barcelona,"Lunch, Dinner",7669,9312,0.8235609965635738,3.0,$$$$,3
Doc's Burger Bar,Athens,"American, International, Barbecue",1457,2438,0.5976210008203445,4.5,$,5
Kuznia Smaku,Warsaw,"Polish, Eastern European, Central European",130,3007,0.04323245759893582,4.5,$$ - $$$,203
Coffeeshop Company,Vienna,Cafe,2217,3953,0.5608398684543385,4.0,$,11
Restaurant Gaucho,Zurich,"Steakhouse, Latin, Barbecue, Argentinean",395,1795,0.2200557103064067,4.0,$$ - $$$,113
Planet Sushi Kleber,Paris,"Japanese, Sushi, Asian",14010,16668,0.8405327573794097,3.0,$$ - $$$,53
TRIO Pizza,Budapest,"Italian, Turkish",2239,2933,0.763382202523014,3.5,$,4
Celler de Ronda,Barcelona,,4533,9312,0.48679123711340205,5.0,$$ - $$$,9
Golser Bier & Wein Bar - Bei Der Oper,Vienna,"Austrian, European",1411,3953,0.3569440930938528,4.5,$$ - $$$,26
Old Wild West,Rome,"American, Barbecue, Steakhouse",5049,10586,0.47695068959002457,3.5,$$ - $$$,133
Pizza Express - Barnes,London,"Pizza, Italian",12487,19359,0.6450229867245209,3.5,$$ - $$$,39
Caffe delle Colonne,Milan,International,6551,7025,0.9325266903914591,2.5,$,78
Chocolateria de la Puerta del Sol,Madrid,"Cafe, European, Spanish",8473,10890,0.7780532598714417,3.0,$,212
ThaiXpress,Paris,"Asian, Thai, Street Food",7507,16668,0.4503839692824574,5.0,$$ - $$$,12
Le Soixante Douze,Paris,African,13220,16668,0.7931365490760739,3.0,$$ - $$$,98
Sushi Bambu Restaurant All You Can Eat,Milan,"Chinese, Japanese, Seafood, Sushi",1060,7025,0.15088967971530248,4.0,$,140
Hotel Gaston,Paris,"French, Contemporary",8166,16668,0.4899208063354932,4.5,$$ - $$$,10
Petrichor at the Cavendish London,London,"Local cuisine, European, British, Vegetarian Friendly, Vegan Options",629,19359,0.03249134769357921,4.5,$$ - $$$,620
Restaurant Huber,Munich,"European, Central European",1242,3020,0.4112582781456954,4.0,$$$$,49
Zum Renner,Vienna,"Steakhouse, Austrian, Gastropub",297,3953,0.07513281052365292,4.0,$$ - $$$,248
Bohemen Sportspub,Oslo,"Bar, Pub",289,1306,0.2212863705972435,4.0,$,44
Emiliana Tortellini,Milan,Italian,3209,7025,0.45679715302491103,4.0,$,48
Heuriger Windisch in Oberlaa,Vienna,"Austrian, European",3364,3953,0.850999241082722,3.0,$$ - $$$,22
Franky’s Burger,Stockholm,Fast Food,313,2880,0.10868055555555556,4.5,$$ - $$$,66
Pizza Express - Dean Street,London,"Italian, Pizza",6468,19359,0.33410816674415,3.5,$$ - $$$,204
Asda,London,British,13325,19359,0.6883103466088124,3.5,$,7
Santa Clara Restaurante,Barcelona,"Mediterranean, Spanish, Contemporary, Healthy, European",1499,9312,0.16097508591065293,4.0,$$ - $$$,238
Craft London,London,,2920,19359,0.15083423730564596,4.0,$$$$,296
Okinawa,Paris,"Japanese, Asian, Sushi",5920,16668,0.35517158627309814,4.0,$$ - $$$,43
Schones Leben,Hamburg,"Local cuisine, German, European, Central European, Vegetarian Friendly",297,3157,0.09407665505226481,4.0,$$ - $$$,347
The Cut (Meating Point),Bratislava,"Steakhouse, Barbecue, European",134,1199,0.11175979983319433,4.0,$$ - $$$,71
Resturant Vltava,Prague,"European, Czech, Central European, Bar, Pub",1344,5235,0.25673352435530084,4.0,$$ - $$$,69
U Stare Posty,Prague,"Bar, European, Czech, Eastern European, Central European, International",1336,5235,0.25520534861509075,3.5,$,146
Pastelaria Versailles,on,"Cafe, European, Portuguese",29,146,0.19863013698630136,4.5,$$ - $$$,839
Restaurante domino,Madrid,"Bar, Mediterranean, Spanish, Pub, Diner",4484,10890,0.41175390266299355,4.5,$,7
Schweinske in Wilhelmsburg,Hamburg,"German, European",2053,3157,0.6503009185936015,3.5,$,11
La Pizzeria Preferita,Milan,"Italian, Pizza",5159,7025,0.7343772241992883,3.5,$,31
Chez Prout.,Paris,French,2927,16668,0.1756059515238781,4.0,$$ - $$$,151
Swades,Paris,Indian,7540,16668,0.4523638108951284,4.0,$$ - $$$,67
Gourmeta,Prague,"European, Central European, Italian, Mediterranean, Spanish",1921,5235,0.3669531996179561,4.5,$$ - $$$,29
The Rowing Club,Milan,"Italian, Mediterranean, Pizza, Seafood",1954,7025,0.2781494661921708,4.5,$$ - $$$,48
Les Cailloux,Paris,"Italian, Mediterranean, European",7086,16668,0.42512598992080636,3.5,$$ - $$$,421
The Union Kitchen,Copenhagen,"Local cuisine, European, Danish, Healthy, Vegetarian Friendly",162,2333,0.06943849121303043,4.0,$$ - $$$,832
El Rincon Ecuatoriano,Madrid,Ecuadorean,3702,10890,0.3399449035812672,4.0,$,26
Pizzeria Al Forno,Stockholm,"Italian, Pizza, European",843,2880,0.29270833333333335,3.5,$$ - $$$,264
Tabarlot,Barcelona,"Local cuisine, Bar, Mediterranean, European, Spanish, Catalan",934,9312,0.10030068728522337,4.0,$$ - $$$,599
Wine Tales,Ixelles,"Bar, Mediterranean, European, Spanish, Wine Bar",71,243,0.29218106995884774,4.0,$$ - $$$,42
Windsurfish,Brussels,"Seafood, Fast Food, European, British",1909,3526,0.5414066931366988,5.0,$$ - $$$,5
Megustasi,Rome,"Italian, Pizza, Barbecue",2028,10586,0.1915737766861893,4.0,$,286
Zing Burger,Budapest,"American, Bar, Fast Food, Street Food",111,145,0.7655172413793103,3.5,$,80
Babila's Bistrot & Bar,Milan,"Italian, International",3381,7025,0.4812811387900356,4.0,$$ - $$$,16
Karczma Podworko Maryny,Krakow,"Polish, European, Central European",663,1589,0.4172435494021397,3.5,$$ - $$$,84
Restaurante La Perla BCN,Barcelona,Catalan,443,9312,0.047573024054982815,4.5,$$ - $$$,170
Luca's Bar,Milan,Italian,4077,7025,0.580355871886121,4.5,$,7
The Auld Hoose,Edinburgh,"Bar, British, Pub",17,262,0.0648854961832061,4.5,$,302
Vegelangelo,Munich,"Vegetarian Friendly, Vegan Options, Gluten Free Options",771,3020,0.2552980132450331,4.0,$$ - $$$,52
Lillebrors Bageri,ckholm,"European, Swedish",7,28,0.25,5.0,$$ - $$$,38
The Cuckoo N1,London,"Bar, British, Pub, Gastropub",4356,19359,0.22501162250116225,4.5,$$ - $$$,43
Clean Food Restaurants,Stockholm,,2507,2880,0.8704861111111111,4.5,$$ - $$$,3
Thyme,London,"British, Bar, Pub",8264,19359,0.4268815537992665,3.5,$$ - $$$,41
Xiang,Munich,"Chinese, Asian",1986,3020,0.6576158940397351,3.5,$$ - $$$,25
Central Station,London,"Bar, Pub, European",11311,19359,0.5842760473164936,3.5,$$ - $$$,25
Das Leben isst schon, Hamburg,"German, Cafe",106,251,0.42231075697211157,4.0,$$ - $$$,29
Bharma,Barcelona,Pub,4305,9312,0.46230670103092786,4.0,$,42
Nostalgic Vermuteria,Barcelona,"Bar, Mediterranean, Spanish, Wine Bar, Pub",2851,9312,0.30616408934707906,4.5,$$ - $$$,43
Mr Pizza,Oslo,Pizza,687,1306,0.5260336906584993,4.0,$,11
L'Osteria,Munich,"Italian, Pizza",671,3020,0.22218543046357617,3.5,$$ - $$$,239
La Rebotica de Ponzano,Madrid,Spanish,8947,10890,0.8215794306703398,2.5,$$ - $$$,11
Restaurace Na Zlate vyhlidce,Prague,"European, Czech",3008,5235,0.5745940783190067,3.5,$,9
Table et Vins d'Ainay,Lyon,"French, Wine Bar, European",266,2705,0.09833641404805915,5.0,$$ - $$$,70
B. Bell broche,Paris,"Fast Food, Mediterranean, Barbecue",3147,16668,0.18880489560835134,4.5,$,45
Cafe Kiebert,Amsterdam,"Dutch, European, Bar, International",1602,3854,0.41567202906071615,4.0,$$ - $$$,72
L'Entracte Opera,Paris,"Local cuisine, French, Bar, Cafe, European, International",4090,16668,0.24538036957043435,3.5,$$ - $$$,543
"Lunchroom Grannies, Amsterdam.",Amsterdam,"Dutch, European",326,3854,0.08458744161909704,4.5,$$ - $$$,122
Heritage Shop & Wine,Warsaw,Italian,1287,3007,0.42800133022946457,4.0,$$ - $$$,16
Diep,Paris,"Chinese, Asian",5924,16668,0.355411567074634,3.5,$$$$,597
Istanbel Kebab,Dublin,"Indian, Fast Food",1656,2313,0.7159533073929961,3.0,$,33
Stradina,Paris,Italian,5544,16668,0.3326133909287257,4.5,$,29
SESAME CAFE,Paris,Italian,10722,16668,0.6432685385169187,4.0,$,8
Martini,Milan,"Italian, Mediterranean",6531,7025,0.929679715302491,2.0,$$ - $$$,20
Casa Gallardo,Madrid,Spanish,5222,10890,0.4795224977043159,3.5,$$ - $$$,34
GLASWERK,Berlin,"Italian, German, Mediterranean",5477,7127,0.7684860390065946,5.0,$,1
Texas Steakhouse,Vienna,"American, Steakhouse",1923,3953,0.4864659752087023,4.0,$$ - $$$,24
Murok cafe,Budapest,Cafe,856,2933,0.2918513467439482,4.5,$$ - $$$,23
Portofino im Estrel Hotel Berlin,Berlin,"Italian, European",727,7127,0.10200645432860951,4.0,$$ - $$$,146
Japans Restaurant Otaru,Amsterdam,"Japanese, Sushi, Asian",947,3854,0.2457187337830825,4.0,$$ - $$$,109
Da Coriolano Pizza e Kebab,Rome,"Pizza, Fast Food, Italian",1027,10586,0.09701492537313433,4.5,$,161
Ananthapuram,London,Meals,9904,19359,0.5115966733818895,4.0,$,13
Caf  Restaurant Sharm,Amsterdam,"Dutch, European",3191,3854,0.8279709392838609,4.5,$,2
Antica Pizzeria da Giulio,Milan,Italian,1789,7025,0.2546619217081851,3.5,$,289
Chatelet Bar,Barcelona,"Bar, European",3949,9312,0.42407646048109965,3.5,$$ - $$$,100
Les Dix Vins Muguet Bistrot,Paris,French,13785,16668,0.8270338372930166,3.0,$,1
Bootleg Bar,Paris,"Pub, Bar, European",4488,16668,0.26925845932325415,4.5,$,39
Aromatic Delicatessen,London,Italian,10272,19359,0.5306059197272587,4.5,$$ - $$$,8
Casa Maria,Rome,"Italian, Pizza, Mediterranean, European, Romana, Lazio, Central-Italian",1381,10586,0.13045531834498394,4.5,$$ - $$$,192
Sakura Sushi,Stockholm,"Japanese, Sushi, Thai",2023,2880,0.7024305555555556,3.5,$,5
Itsu,London,"Japanese, Fast Food, Sushi, Asian",145,1819,0.07971412864211105,4.0,$,181
Etno Cafe Warszawa Marszalkowska,Warsaw,"Quick Bites, Polish, European, Cafe, Vegetarian Friendly",33,52,0.6346153846153846,4.0,$,69
Aux Comptoirs des Indes,Paris,Indian,4960,16668,0.29757619390448764,4.0,$$ - $$$,86
Uzbek Corner London,London,Uzbek,4625,19359,0.23890696833514127,4.5,$$ - $$$,51
Villa Verdi,Paris,"Italian, European, Mediterranean",530,16668,0.03179745620350372,4.5,$$ - $$$,626
Nordsee,Berlin,"Seafood, Fast Food",1764,7127,0.247509471025677,4.0,$,90
Cafe le Baron,Paris,"French, Gastropub, Healthy",10070,16668,0.6041516678665707,3.0,$$ - $$$,449
Taverna Argo,Berlin,Greek,2053,7127,0.2880594920724007,4.0,$$ - $$$,39
Baunilla Comfort Sweets, Milan,Cafe,43,435,0.09885057471264368,4.5,$$ - $$$,58
Cichy Kacik,Warsaw,"Polish, European",410,3007,0.13634852011972065,4.5,$$ - $$$,27
Buckle Up,Dublin,Cafe,1566,2313,0.6770428015564203,3.5,$$ - $$$,18
Duspara,Vienna,"European, Central European, Austrian",490,3953,0.12395648874272704,4.5,$$ - $$$,76
La Luna,Barcelona,"Mediterranean, European, Spanish",780,9312,0.08376288659793814,4.5,$$ - $$$,834
Restaurant Bar Vall,Barcelona,"Mediterranean, Spanish, Bar, European, Pub",3810,9312,0.40914948453608246,3.5,$,85
Village Ung,Paris,"Chinese, Asian, Thai",1077,16668,0.06461483081353492,4.5,$$ - $$$,149
Osborn Curry House,London,Indian,14810,19359,0.7650188542796632,3.5,$,2
Bamboo Garden,Stockholm,"European, Scandinavian",1191,2880,0.41354166666666664,4.0,$$ - $$$,27
Ruffs Buger,Munich,"American, Barbecue, Fast Food",9,54,0.16666666666666666,4.5,$,44
MASAMI SUSHI,Warsaw,"Japanese, Sushi, Asian",1013,3007,0.3368806119055537,5.0,$$ - $$$,9
Le Rouge et Le Blanc,Geneva,"European, Wine Bar, Vegetarian Friendly",391,1674,0.23357228195937874,4.0,$$ - $$$,152
Cafe Wiener Platz,Munich,"Cafe, Contemporary, Central European",1748,3020,0.5788079470198676,3.5,$$ - $$$,97
IZUMI,Rome,"Chinese, Japanese, Sushi, Asian, Thai",4084,10586,0.3857925562063102,3.5,$$ - $$$,307
Colbert,Rome,"Cafe, Romana, Lazio, Central-Italian",1379,10586,0.13026638957113168,4.0,$$ - $$$,228
Grillhaus Berlin,Berlin,Turkish,4154,7127,0.5828539357373369,5.0,$,5
Restauracja Green,Krakow,Healthy,693,1589,0.43612334801762115,4.5,$$ - $$$,20
Aargauerhof,Zurich,"Swiss, European, Central European",812,1795,0.4523676880222841,3.5,$$ - $$$,87
Kolkovna Argentinska,Prague,"International, European, Czech, Bar, Central European",1215,5235,0.23209169054441262,4.0,$$ - $$$,88
Cueva Maya,Milan,"Mexican, Latin",2053,7025,0.29224199288256225,3.5,$$ - $$$,558
Le Bistrot de Paris,Paris,"French, European",1766,16668,0.10595152387808976,4.0,$$ - $$$,364
Restaurant Vatel,Lyon,"French, European",169,2705,0.06247689463955638,4.5,$$$$,302
Restaurant Alyssaar Syrien,Lyon,"Middle Eastern, Mediterranean",302,2705,0.11164510166358595,4.5,$$ - $$$,124
Cafe Uferlos,Berlin,"International, European",2403,7127,0.3371685141013049,4.0,$$ - $$$,21
Rumbanroll,Barcelona,"Mediterranean, Spanish, International, Healthy",708,9312,0.07603092783505154,4.5,$,104
deliciousmonster,Vienna,International,3071,3953,0.7768783202630913,3.5,$,8
Assim e Assado,Lisbon,"European, Portuguese, Mediterranean",3359,4685,0.7169690501600854,4.5,$,8
Le Vin Gourmand,Lyon,"French, European, Bar, Pub, Wine Bar",878,2705,0.3245841035120148,3.5,$$ - $$$,95
Frederik VI,Copenhagen,"European, Scandinavian, Danish",808,2333,0.3463351907415345,4.0,$$ - $$$,46
Mustard Cafe,London,Cafe,1114,1819,0.6124244090159429,4.0,$,22
Cai Shen,Prague,Asian,2906,5235,0.5551098376313276,4.0,$,4
Tentacao Do Sabor,Porto,Cafe,1534,1900,0.8073684210526316,4.5,$,2
Nuovo Mondo,Rome,"Italian, Pizza, Mediterranean, Romana, Lazio, Central-Italian",1774,10586,0.16757982240695257,4.0,$,778
ATLANTICO,Luxembourg City,"Seafood, European, Portuguese",287,715,0.4013986013986014,4.0,$$ - $$$,111
Delicatissimo,Milan,"Italian, Healthy",1255,7025,0.1786476868327402,4.5,$$ - $$$,107
Zero20,Amsterdam,"American, Caribbean, International, European",3438,3854,0.8920601971977167,3.5,$$ - $$$,9
Ars Vivendi,Madrid,"Italian, Mediterranean, European",3950,10890,0.3627180899908173,3.5,$$ - $$$,84
Mondi's,Berlin,,4665,7127,0.654553107899537,4.0,$,6
Creperie Brettonne,Lyon,"French, Cafe",1599,2705,0.5911275415896488,4.0,$,11
Nooch Asian Kitchen - Enge,Zurich,Asian,755,1795,0.4206128133704735,4.0,$$ - $$$,24
Piazza Grande,Barcelona,"Italian, Pizza, Mediterranean, European",831,9312,0.08923969072164949,4.5,$$ - $$$,216
Kameralna,Warsaw,Polish,669,3007,0.22248087795144664,4.0,$$ - $$$,76
A la Ville de Paris,Paris,French,12521,16668,0.7511999040076793,4.0,$,3
Whitlock Cafe Grill,Brussels,"Belgian, European, Grill, Pub",643,3526,0.18235961429381736,4.0,$$ - $$$,80
Biboporto,Porto,"Portuguese, European",1259,1900,0.6626315789473685,3.5,$$ - $$$,33
Prospect Of Whitby,London,"Bar, British, Pub",3127,19359,0.16152693837491605,3.5,$$ - $$$,481
Lucky King en Hong,Amsterdam,"Chinese, Cajun & Creole, Asian, Indonesian",2153,3854,0.558640373637779,4.5,$$ - $$$,11
La Bottega Della Piada,Milan,"Bar, Pub, Romagna",4878,7025,0.6943772241992883,4.5,$,2
Els Lledoners,Barcelona,"Mediterranean, Spanish",2155,9312,0.23142182130584193,4.5,$$ - $$$,60
ProvenDough Deli+Bar,London,"Bar, Deli, Pub",11615,19359,0.5999793377757116,4.5,$,3
Iluzione,Barcelona,"Italian, Mediterranean, European",1910,9312,0.20511168384879724,4.0,$$ - $$$,150
Apiary Restaurant,Edinburgh,"Local cuisine, European, British, Scottish, International",149,1856,0.08028017241379311,4.5,$$ - $$$,566
Bar La Perla,Madrid,"Spanish, Bar",3220,10890,0.2956841138659321,5.0,$$ - $$$,15
